target_arch,source_arch,seed,test_loss
mlp_3x_244x48x56,mlp_3x_120x204x408,2,0.08585154089927673
mlp_3x_244x48x56,mlp_3x_120x204x408,3,0.09016475172042847
mlp_3x_244x48x56,mlp_3x_120x204x408,4,0.09610019574165345
mlp_3x_244x48x56,mlp_3x_120x204x408,5,0.09785875751972198
mlp_3x_216x120x84,mlp_3x_252x32x16,1,0.08016624348163605
mlp_3x_216x120x84,mlp_3x_252x32x16,2,0.08345631301403046
mlp_3x_216x120x84,mlp_3x_252x32x16,3,0.07951687781810761
mlp_3x_216x120x84,mlp_3x_252x32x16,4,0.08382262425422668
mlp_3x_216x120x84,mlp_3x_252x32x16,5,0.08309719622135163
mlp_3x_216x120x84,mlp_3x_248x32x92,1,0.07647542432546615
mlp_3x_216x120x84,mlp_3x_248x32x92,2,0.0771338640332222
mlp_3x_216x120x84,mlp_3x_248x32x92,3,0.07671387157440186
mlp_3x_216x120x84,mlp_3x_248x32x92,4,0.07755914692878724
mlp_3x_216x120x84,mlp_3x_248x32x92,5,0.07329926300048828
mlp_3x_216x120x84,mlp_3x_244x48x56,1,0.07647542432546615
mlp_3x_216x120x84,mlp_3x_244x48x56,2,0.0771338640332222
mlp_3x_216x120x84,mlp_3x_244x48x56,3,0.07671387157440186
mlp_3x_216x120x84,mlp_3x_244x48x56,4,0.07755914692878724
mlp_3x_216x120x84,mlp_3x_244x48x56,5,0.07329926300048828
mlp_3x_216x120x84,mlp_3x_216x120x84,1,0.07630757063627243
mlp_3x_216x120x84,mlp_3x_216x120x84,2,0.07828691735267639
mlp_3x_216x120x84,mlp_3x_216x120x84,3,0.08031281609535218
mlp_3x_216x120x84,mlp_3x_216x120x84,4,0.07787153173685074
mlp_3x_216x120x84,mlp_3x_216x120x84,5,0.07479911714792252
mlp_3x_216x120x84,mlp_3x_188x192x112,1,0.07630757063627243
mlp_3x_216x120x84,mlp_3x_188x192x112,2,0.07828691735267639
mlp_3x_216x120x84,mlp_3x_188x192x112,3,0.08031281609535218
mlp_3x_216x120x84,mlp_3x_188x192x112,4,0.07787153173685074
mlp_3x_216x120x84,mlp_3x_188x192x112,5,0.07479911714792252
mlp_3x_216x120x84,mlp_3x_160x264x140,1,0.07658479619026184
mlp_3x_216x120x84,mlp_3x_160x264x140,2,0.08129006572961807
mlp_3x_216x120x84,mlp_3x_160x264x140,3,0.08056153123378754
mlp_3x_216x120x84,mlp_3x_160x264x140,4,0.07732997460365296
mlp_3x_216x120x84,mlp_3x_160x264x140,5,0.08015142911672592
mlp_3x_216x120x84,mlp_3x_160x204x224,1,0.08153358399868012
mlp_3x_216x120x84,mlp_3x_160x204x224,2,0.08023604682683945
mlp_3x_216x120x84,mlp_3x_160x204x224,3,0.07981986284255982
mlp_3x_216x120x84,mlp_3x_160x204x224,4,0.07716903414726257
mlp_3x_216x120x84,mlp_3x_160x204x224,5,0.07878798397779464
mlp_3x_216x120x84,mlp_3x_120x204x408,1,0.08872601544857026
mlp_3x_216x120x84,mlp_3x_120x204x408,2,0.07675415427088737
mlp_3x_216x120x84,mlp_3x_120x204x408,3,0.08850599584579467
mlp_3x_216x120x84,mlp_3x_120x204x408,4,0.08119921556711197
mlp_3x_216x120x84,mlp_3x_120x204x408,5,0.08031264197826385
mlp_3x_188x192x112,mlp_3x_252x32x16,1,0.08528482527732849
mlp_3x_188x192x112,mlp_3x_252x32x16,2,0.08717563438415528
mlp_3x_188x192x112,mlp_3x_252x32x16,3,0.08340174806118011
mlp_3x_188x192x112,mlp_3x_252x32x16,4,0.08375222375392914
mlp_3x_188x192x112,mlp_3x_252x32x16,5,0.08569782617092132
mlp_3x_188x192x112,mlp_3x_248x32x92,1,0.07985612683296203
mlp_3x_188x192x112,mlp_3x_248x32x92,2,0.07872969795465469
mlp_3x_188x192x112,mlp_3x_248x32x92,3,0.0783541517853737
mlp_3x_188x192x112,mlp_3x_248x32x92,4,0.0796302473306656
mlp_3x_188x192x112,mlp_3x_248x32x92,5,0.08624184052944184
mlp_3x_188x192x112,mlp_3x_244x48x56,1,0.07985612683296203
mlp_3x_188x192x112,mlp_3x_244x48x56,2,0.07872969795465469
mlp_3x_188x192x112,mlp_3x_244x48x56,3,0.0783541517853737
mlp_3x_188x192x112,mlp_3x_244x48x56,4,0.0796302473306656
mlp_3x_188x192x112,mlp_3x_244x48x56,5,0.08624184052944184
mlp_3x_188x192x112,mlp_3x_216x120x84,1,0.07817567040920258
mlp_3x_188x192x112,mlp_3x_216x120x84,2,0.07641848711967468
mlp_3x_188x192x112,mlp_3x_216x120x84,3,0.07660669493675232
mlp_3x_188x192x112,mlp_3x_216x120x84,4,0.07552677834033966
mlp_3x_188x192x112,mlp_3x_216x120x84,5,0.07782342419624329
mlp_3x_188x192x112,mlp_3x_188x192x112,1,0.07817567040920258
mlp_3x_188x192x112,mlp_3x_188x192x112,2,0.07641848711967468
mlp_3x_188x192x112,mlp_3x_188x192x112,3,0.07660669493675232
mlp_3x_188x192x112,mlp_3x_188x192x112,4,0.07552677834033966
mlp_3x_188x192x112,mlp_3x_188x192x112,5,0.07782342419624329
mlp_3x_188x192x112,mlp_3x_160x264x140,1,0.07754004510641098
mlp_3x_188x192x112,mlp_3x_160x264x140,2,0.07798797645568847
