target_arch,source_arch,seed,test_loss
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.045,3,0.07175593268871307
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.045,4,0.07193503413200378
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.045,5,0.07209717215299606
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.015,1,0.07053022904396057
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.015,2,0.0698567158460617
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.015,3,0.06948368821144103
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.015,4,0.0704896082162857
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.015,5,0.07248930578231812
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.045,1,0.06920357060432435
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.045,2,0.06847395033836365
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.045,3,0.07074473209381103
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.045,4,0.07079999284744262
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.045,5,0.072187337744236
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.015,1,0.07059578447341919
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.015,2,0.06918892185688019
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.015,3,0.07063767967224122
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.015,4,0.07296106398105622
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.015,5,0.07000483181476592
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.045,1,0.06917608511447906
