target_arch,source_arch,mean_regret,var_regret,min_regret,max_regret
mlp_2x_192x192_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.015,0.000716397147178649,3.539945550147477e-07,-0.00030790735483168796,0.0014010587096214278
mlp_2x_192x192_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.045,0.00021648123741150048,3.898165709444588e-07,-0.0008172200918197675,0.0011438170671463077
mlp_2x_192x192_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.015,0.0,0.0,0.0,0.0
mlp_2x_192x192_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.045,0.00021648123741150048,3.898165709444588e-07,-0.0008172200918197675,0.0011438170671463077
mlp_2x_192x192_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.015,0.0,0.0,0.0,0.0
mlp_2x_192x192_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.045,0.0013150327873230005,1.2085084268517958e-06,-0.00034687381982802246,0.0028562070488929725
mlp_2x_192x192_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.015,0.0012597187137603771,6.173429206406631e-07,-0.00013766379356383585,0.0021408879160881022
mlp_2x_192x192_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.045,0.0009816160035133388,3.936817514482552e-06,-0.0004830862164497268,0.004915655350685111
mlp_2x_192x192_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.015,0.000716397147178649,3.539945550147477e-07,-0.00030790735483168796,0.0014010587096214278
mlp_2x_192x192_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.045,0.000716397147178649,3.539945550147477e-07,-0.00030790735483168796,0.0014010587096214278
mlp_2x_192x192_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.015,0.002096646111011505,2.5804718521731162e-06,-0.0006207788586616442,0.003792438864707953
mlp_2x_192x192_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.045,0.002096646111011505,2.5804718521731162e-06,-0.0006207788586616442,0.003792438864707953
mlp_2x_192x192_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.015,-0.00010695301055908546,1.6431837578948076e-06,-0.0019094516396522543,0.0016400602579116769
mlp_2x_192x192_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.045,-0.00028494720220565984,1.654959299947033e-06,-0.002134586405754091,0.0017351408243179295
mlp_2x_192x192_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.015,-0.0014719970679283184,1.356773759602691e-06,-0.0030847998976707425,0.0002453581213951034
mlp_2x_192x192_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.045,-0.00028494720220565984,1.654959299947033e-06,-0.002134586405754091,0.0017351408243179295
mlp_2x_192x192_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.015,-0.0014719970679283184,1.356773759602691e-06,-0.0030847998976707425,0.0002453581213951034
mlp_2x_192x192_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.045,0.0,0.0,0.0,0.0
mlp_2x_192x192_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.015,-0.00031826100826263805,1.2419485402206851e-06,-0.001666092681884765,0.0014724057912826466
mlp_2x_192x192_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.045,-0.0003986450195312519,1.7484815447335592e-06,-0.0017569666147232155,0.001861052846908573
mlp_2x_192x192_do0.15_a0.045,mlp_3x_192x192x128_do0.15_a0.015,-0.00010695301055908546,1.6431837578948076e-06,-0.0019094516396522543,0.0016400602579116769
mlp_2x_192x192_do0.15_a0.045,mlp_3x_192x192x128_do0.15_a0.045,-0.00010695301055908546,1.6431837578948076e-06,-0.0019094516396522543,0.0016400602579116769
mlp_2x_192x192_do0.15_a0.045,mlp_3x_192x192x128_do0.25_a0.015,0.00034937029600143056,1.6276140485743307e-06,-0.0009169516563415497,0.0025233185410499515
mlp_2x_192x192_do0.15_a0.045,mlp_3x_192x192x128_do0.25_a0.045,0.00034937029600143056,1.6276140485743307e-06,-0.0009169516563415497,0.0025233185410499515
mlp_2x_192x192_do0.25_a0.015,mlp_2x_256x128_do0.15_a0.015,0.00020439943075180322,3.0714398056731157e-06,-0.0019679491639137264,0.003389291644096376
mlp_2x_192x192_do0.25_a0.015,mlp_2x_256x128_do0.15_a0.045,0.00015753381967544277,3.49081038003372e-06,-0.0011674331307411218,0.0038257769465446373
mlp_2x_192x192_do0.25_a0.015,mlp_2x_256x128_do0.25_a0.015,-0.0005973370742797856,2.2242402631341127e-06,-0.002333731508255013,0.0019184975385665853
mlp_2x_192x192_do0.25_a0.015,mlp_2x_256x128_do0.25_a0.045,0.00015753381967544277,3.49081038003372e-06,-0.0011674331307411218,0.0038257769465446373
